image_no,nose_x,nose_y,nose_score,neck_x,neck_y,neck_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,right_elbow_x,right_elbow_y,right_elbow_score,right_wrist_x,right_wrist_y,right_wrist_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,mid_hip_x,mid_hip_y,mid_hip_score,right_hip_x,right_hip_y,right_hip_score,right_knee_x,right_knee_y,right_knee_score,right_ankle_x,right_ankle_y,right_ankle_score,left_hip_x,left_hip_y,left_hip_score,left_knee_x,left_knee_y,left_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_eye_x,right_eye_y,right_eye_score,left_eye_x,left_eye_y,left_eye_score,right_ear_x,right_ear_y,right_ear_score,left_ear_x,left_ear_y,left_ear_score,left_bigtoe_x,left_bigtoe_y,left_bigtoe_score,left_smalltoe_x,left_smalltoe_y,left_smalltoe_score,left_heel_x,left_heel_y,left_heel_score,right_bigtoe_x,right_bigtoe_y,right_bigtoe_score,right_smalltoe_x,right_smalltoe_y,right_smalltoe_score,right_heel_x,right_heel_y,right_heel_score,label
218,1083.6676,415.56247,0.87311375,1142.4333,453.65503,0.911919,1121.8629,456.6494,0.8647018,1145.4169,536.1946,0.83756566,1092.5105,580.326,0.91941214,1163.094,444.937,0.878292,1227.824,506.70697,0.9145681,1183.647,574.3436,0.90102893,1189.5636,595.0089,0.8135897,1186.6655,597.8571,0.73603123,1216.125,698.0528,0.87434596,1324.923,789.3215,0.84451944,1189.6929,595.0369,0.8001808,1115.8252,692.0229,0.93139446,1165.9518,815.78235,0.87207,0,0,0,1092.3114,409.60208,0.96278435,0,0,0,1118.845,409.4921,1.0044277,1118.9865,842.3215,0.79979426,1139.4664,851.07056,0.8260681,1186.515,830.43854,0.82544494,1280.9132,821.6695,0.8015756,1286.6748,815.7284,0.71985894,1342.6141,798.12427,0.7391296,1
219,1074.8271,436.04132,0.94563514,1139.5072,468.50278,0.89070886,1116.0424,477.29135,0.8780515,1121.9729,553.9409,0.9117534,1071.8862,597.92126,0.94114447,1162.9677,462.53207,0.86834645,1227.8773,512.6939,0.8633879,1186.4591,577.4497,0.9198312,1189.705,600.81915,0.8270213,1192.5673,600.85974,0.7317636,1239.6062,703.988,0.84245294,1330.8239,792.34106,0.8380484,1189.6562,600.8495,0.7869874,1095.4476,689.1682,0.9399968,1165.9379,806.92706,0.8742145,0,0,0,1080.6721,427.30896,0.87795335,0,0,0,1113.0491,418.46323,0.9062984,1118.978,833.52936,0.850534,1139.4291,836.357,0.8818563,1186.5581,812.8327,0.83931315,1289.6969,818.7522,0.71278083,1301.379,812.97034,0.6632473,1351.4536,809.7704,0.80902326,1
220,1074.8246,436.0405,0.94514376,1139.5085,468.50314,0.8909018,1116.0448,477.29346,0.8781551,1121.9741,553.94,0.9113881,1071.8866,597.9203,0.94064635,1162.9688,462.5319,0.8686181,1227.8761,512.6931,0.86359525,1186.4617,577.4514,0.9213213,1189.7039,600.8322,0.82685965,1192.5657,600.8744,0.73156375,1239.6063,703.99164,0.8427662,1330.8263,792.34375,0.83749115,1189.6547,600.85925,0.78618664,1095.4454,689.1649,0.939519,1165.9353,806.9267,0.8745833,0,0,0,1080.6709,427.308,0.87780344,0,0,0,1113.0529,418.46027,0.9072272,1118.9724,833.5221,0.8484243,1139.4252,836.356,0.87913185,1186.5548,812.8347,0.8382378,1289.7036,818.75446,0.7092688,1301.3844,812.97095,0.6618539,1351.4619,809.77655,0.8098191,1
221,1068.7468,450.7493,0.88817114,1121.928,480.1501,0.9103093,1101.3099,483.11633,0.8562282,1112.969,568.51855,0.89427185,1054.1555,603.9724,0.8521248,1142.6587,474.34244,0.8439766,1216.0754,521.42883,0.8737605,1180.7427,583.31335,0.8345034,1186.6714,603.94617,0.807475,1189.673,603.9174,0.70606524,1239.6665,706.9143,0.83581716,1330.9612,798.1107,0.81486845,1183.687,606.81146,0.73848224,1089.4989,692.0134,0.93578327,1166.0614,792.2233,0.8776768,1059.9894,436.15646,0.055096153,1071.7593,436.1495,0.95527506,0,0,0,1098.3009,436.0461,0.9486005,1124.7928,827.4957,0.82375187,1139.6262,830.43494,0.8910861,1186.7446,801.068,0.85936,1289.7034,821.6802,0.69201434,1301.3907,815.77356,0.6455915,1354.2742,809.9133,0.80056465,1
222,1068.7465,450.74994,0.8880989,1121.9266,480.1488,0.91021836,1101.3116,483.11588,0.8561188,1112.973,568.519,0.8948432,1054.164,603.97144,0.8514869,1142.6569,474.33862,0.8440503,1216.0797,521.43304,0.8739542,1180.7424,583.3148,0.8345324,1186.6722,603.9505,0.80685836,1189.6753,603.92017,0.7054752,1239.6678,706.9123,0.83519423,1330.9613,798.1199,0.81333065,1183.6862,606.8166,0.7382509,1089.4987,692.0137,0.9357287,1166.0612,792.2242,0.87761813,1057.1704,436.18814,0.054757513,1071.7588,436.1499,0.9552315,0,0,0,1098.3,436.0462,0.9487692,1124.7941,827.49646,0.8240319,1139.627,830.4355,0.8915756,1186.7449,801.06805,0.8589965,1289.6842,821.67487,0.6954191,1301.374,815.7698,0.6457037,1354.2783,809.9243,0.80023396,1
223,1048.2421,456.58856,0.94654405,1110.156,483.09167,0.9150268,1092.336,486.13507,0.8837234,1095.4333,571.4803,0.9672626,1048.2041,621.55865,0.946342,1127.8217,480.11954,0.8289574,1201.4005,524.38586,0.8736999,1165.9006,594.9782,0.8838954,1174.9025,603.93054,0.7785366,1183.733,603.8755,0.7190676,1219.0754,709.8079,0.8351631,1327.8853,789.4451,0.86017436,1169.032,609.70593,0.7592875,1089.3864,695.24805,0.90846336,1174.8688,789.4597,0.81860805,0,0,0,1051.304,441.9548,0.8665539,0,0,0,1089.3741,439.01508,0.8940471,1139.5424,833.2858,0.88304746,1154.2279,833.3807,0.8256152,1192.6279,792.31805,0.8070724,1289.6222,821.6712,0.7442066,1298.4657,815.77,0.66278285,1348.5093,801.08655,0.76092273,1
224,1048.241,456.5883,0.9462581,1110.1547,483.09152,0.91489625,1092.3357,486.13727,0.88316506,1095.4329,571.48065,0.96734065,1048.2023,621.55646,0.9456407,1127.8191,480.11658,0.82877743,1201.3976,524.38873,0.8740314,1165.8995,594.9802,0.8841148,1174.9028,603.932,0.77821267,1183.7328,603.87756,0.7186371,1219.0713,709.8082,0.83515984,1327.8843,789.4456,0.86066276,1169.033,609.7071,0.7590419,1089.3845,695.24976,0.90785736,1174.8904,792.18256,0.8176984,0,0,0,1051.3046,441.9531,0.86643803,0,0,0,1089.3746,439.01416,0.89423156,1139.5419,833.2834,0.88346756,1154.2188,833.3799,0.8263875,1192.636,792.3201,0.8059649,1289.6271,821.6654,0.74714863,1298.4724,815.7652,0.667261,1348.5096,801.08386,0.76010966,1
225,1027.6666,456.53876,0.9104816,1092.3679,480.29172,0.9555704,1071.7584,480.3019,0.8951595,1092.4589,559.7216,0.87807983,1057.1768,627.48956,0.8378407,1110.0841,480.2817,0.87015593,1166.1334,533.19946,0.91316986,1127.816,601.07,0.8394949,1163.118,606.85016,0.80120873,1168.9487,606.7671,0.6945127,1180.772,715.75867,0.9207884,1304.3422,774.5748,0.81974834,1157.2239,609.773,0.7610155,1092.4392,712.809,0.9402148,1189.4445,806.8754,0.8536077,0,0,0,1036.494,439.13354,0.85542434,0,0,0,1068.7172,436.2235,0.9374698,1142.605,833.2978,0.7968303,1162.9637,833.52783,0.83166456,1210.0494,809.93665,0.8672178,1280.8474,818.7494,0.8454612,1283.7511,812.89746,0.8015419,1327.7996,774.55835,0.7456322,1
226,1027.6654,456.53943,0.9106773,1092.3632,480.2904,0.9543289,1071.7603,480.30048,0.8946566,1092.4594,559.7237,0.87800753,1057.1736,627.4896,0.8375783,1110.0723,480.28036,0.8690418,1166.1334,533.19617,0.91349465,1127.8163,601.06946,0.83929783,1163.1196,606.8461,0.80116516,1168.9506,606.76404,0.69416887,1180.7723,715.7588,0.9207691,1304.3403,774.57294,0.819385,1157.2273,609.7687,0.7611222,1092.4377,712.8078,0.93971175,1186.7556,806.8599,0.8526165,1024.6353,439.1789,0.05969394,1036.4939,439.1344,0.85546833,0,0,0,1068.7197,436.2233,0.93813986,1142.607,833.3046,0.7984171,1162.9645,833.5305,0.8329003,1210.0427,809.93134,0.86569893,1280.8489,818.7511,0.8453074,1283.7524,812.8988,0.801034,1327.7974,774.5559,0.7444629,1
227,1010.0548,456.6178,0.8888452,1071.8827,480.3051,0.90625405,1065.978,477.31982,0.7920674,1092.5757,553.7872,0.84403825,1074.8666,621.6068,0.7964423,1083.5693,483.18976,0.8621697,1130.7477,550.8874,0.90098536,1086.5413,621.4125,0.8561911,1142.4484,600.9761,0.78025055,1145.4401,598.0604,0.67564666,1139.4535,715.7831,0.8762696,1257.2303,753.9849,0.7953942,1139.5647,603.88806,0.83328116,1092.5475,715.8485,0.98883265,1189.5597,809.7612,0.893493,0,0,0,1018.84863,444.87952,0.86864763,0,0,0,1045.3962,439.06073,0.9375671,1145.4829,830.53864,0.78998303,1163.021,833.53345,0.8528738,1210.1731,812.81464,0.85452956,1257.2164,809.99347,0.883811,1257.261,806.92474,0.72559345,1277.8262,742.2925,0.7579106,1
